ip,country,city,timezone,loc,os,browser,os_version,browser_version,device
185.97.201.89,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
64.52.83.86,US,San Jose,America/Los_Angeles,"37.3394,-121.8950",iOS,Mobile Safari,12.4.1,12.1.2,mobile
154.160.9.113,GH,Accra,Africa/Accra,"5.5560,-0.1969",iOS,Mobile Safari,12.4.1,12.1.2,mobile
64.52.83.10,US,San Jose,America/Los_Angeles,"37.3394,-121.8950",iOS,Mobile Safari,12.4.1,12.1.2,mobile
154.160.10.201,GH,Accra,Africa/Accra,"5.5560,-0.1969",iOS,Mobile Safari,12.4.1,12.1.2,mobile
64.52.83.148,US,San Jose,America/Los_Angeles,"37.3394,-121.8950",iOS,Mobile Safari,12.4.1,12.1.2,mobile
64.52.83.232,US,San Jose,America/Los_Angeles,"37.3394,-121.8950",iOS,Mobile Safari,12.4.1,12.1.2,mobile
154.160.9.113,GH,Accra,Africa/Accra,"5.5560,-0.1969",iOS,Mobile Safari,12.4.1,12.1.2,mobile
217.66.159.132,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
185.97.201.65,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
185.97.201.65,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
31.173.80.42,RU,Moscow,Europe/Moscow,"55.7522,37.6156",iOS,Mobile Safari,13.3,13.0.4,mobile
185.155.18.163,RU,Moscow,Europe/Moscow,"55.7522,37.6156",iOS,Mobile Safari,13.3,13.0.4,mobile
217.66.152.216,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
185.155.18.189,RU,Moscow,Europe/Moscow,"55.7522,37.6156",iOS,Mobile Safari,13.3,13.0.4,mobile
185.155.18.189,RU,Moscow,Europe/Moscow,"55.7522,37.6156",iOS,Mobile Safari,13.3,13.0.4,mobile
217.66.152.216,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
185.97.201.170,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
217.66.152.216,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
185.6.247.97,RU,Moscow,Europe/Moscow,"55.7522,37.6156",iOS,Mobile Safari,13.1.3,13.0.1,mobile
31.173.30.169,RU,Moscow,Europe/Moscow,"55.7522,37.6156",iOS,Mobile Safari,13.1.3,13.0.1,mobile
185.97.201.65,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
45.56.172.31,US,New Orleans,America/Chicago,"29.9547,-90.0751",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
45.56.172.32,US,New Orleans,America/Chicago,"29.9547,-90.0751",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
154.160.21.194,DE,Munich,Europe/Berlin,"48.1374,11.5755",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
197.210.70.155,NG,Abuja,Africa/Lagos,"9.0579,7.4951",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
197.210.84.152,NG,Abuja,Africa/Lagos,"9.0579,7.4951",Mac OS X,Opera,10.14.6,66.0.3515,not mobile
45.56.171.14,US,New York City,America/New_York,"40.7143,-74.0060",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
104.192.227.182,US,Chicago,America/Chicago,"41.8500,-87.6500",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
105.112.11.246,NG,Lagos,Africa/Lagos,"6.4541,3.3947",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
104.238.38.34,US,New York City,America/New_York,"40.7143,-74.0060",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
45.56.172.110,US,Dallas,America/Chicago,"32.7831,-96.8067",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
197.210.227.189,NG,Lagos,Africa/Lagos,"6.4541,3.3947",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
197.210.227.134,NG,Lagos,Africa/Lagos,"6.4541,3.3947",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
197.210.226.176,SA,Riyadh,Asia/Riyadh,"24.6877,46.7219",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
45.56.172.147,US,New York City,America/New_York,"40.7143,-74.0060",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
216.151.180.167,US,New York City,America/New_York,"40.7185,-74.0025",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
154.160.22.209,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
216.151.180.94,US,New York City,America/New_York,"40.7185,-74.0025",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
197.210.45.192,NG,Lagos,Africa/Lagos,"6.4541,3.3947",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
104.238.38.90,US,New York City,America/New_York,"40.7143,-74.0060",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
45.56.172.109,US,Dallas,America/Chicago,"32.7831,-96.8067",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
209.234.253.186,CA,Vancouver,America/Vancouver,"49.2497,-123.1193",Mac OS X,Opera,10.14.6,66.0.3515,not mobile
45.56.172.32,US,New Orleans,America/Chicago,"29.9547,-90.0751",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
173.213.86.30,US,Elk Grove Village,America/Chicago,"42.0076,-87.9931",Mac OS X,Opera,10.14.6,66.0.3515,not mobile
45.56.172.146,US,New York City,America/New_York,"40.7143,-74.0060",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
154.160.26.149,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
154.160.24.240,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
154.160.17.105,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
45.56.172.147,US,New York City,America/New_York,"40.7143,-74.0060",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
154.160.26.123,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
197.210.44.108,NG,Lagos,Africa/Lagos,"6.4541,3.3947",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
45.56.172.212,US,Denver,America/Denver,"39.7392,-104.9847",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
209.197.30.176,IR,Tehran,Asia/Tehran,"35.6944,51.4215",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
209.197.30.174,US,New York City,America/New_York,"40.7143,-74.0060",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
209.197.30.175,US,New York City,America/New_York,"40.7143,-74.0060",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
209.197.30.177,IR,Tehran,Asia/Tehran,"35.6944,51.4215",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
197.210.70.155,NG,Abuja,Africa/Lagos,"9.0579,7.4951",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
197.210.44.251,NG,Lagos,Africa/Lagos,"6.4541,3.3947",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
197.210.226.82,NG,Abuja,Africa/Lagos,"9.0579,7.4951",Mac OS X,Opera,10.14.6,66.0.3515,not mobile
197.210.227.63,NG,Abuja,Africa/Lagos,"9.0579,7.4951",Mac OS X,Opera,10.14.6,66.0.3515,not mobile
173.213.86.58,US,Elk Grove Village,America/Chicago,"42.0076,-87.9931",Mac OS X,Opera,10.14.6,66.0.3515,not mobile
173.213.86.64,US,Elk Grove Village,America/Chicago,"42.0076,-87.9931",Mac OS X,Opera,10.14.6,66.0.3515,not mobile
197.210.65.235,NG,Abuja,Africa/Lagos,"9.0579,7.4951",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
64.145.94.211,US,Los Angeles,America/Los_Angeles,"34.0614,-118.2385",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
45.56.172.210,US,Denver,America/Denver,"39.7392,-104.9847",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
45.56.172.145,US,New York City,America/New_York,"40.7143,-74.0060",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
154.160.0.195,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
173.213.86.34,US,Elk Grove Village,America/Chicago,"42.0076,-87.9931",Mac OS X,Opera,10.14.6,66.0.3515,not mobile
173.213.86.32,US,Elk Grove Village,America/Chicago,"42.0076,-87.9931",Mac OS X,Opera,10.14.6,66.0.3515,not mobile
173.213.86.30,US,Elk Grove Village,America/Chicago,"42.0076,-87.9931",Mac OS X,Opera,10.14.6,66.0.3515,not mobile
197.210.84.152,NG,Abuja,Africa/Lagos,"9.0579,7.4951",Mac OS X,Opera,10.14.6,66.0.3515,not mobile
209.234.253.182,CA,Vancouver,America/Vancouver,"49.2497,-123.1193",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
197.210.44.108,NG,Lagos,Africa/Lagos,"6.4541,3.3947",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
197.210.85.140,NG,Abuja,Africa/Lagos,"9.0579,7.4951",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
45.56.172.175,US,South Fallsburg,America/New_York,"41.7206,-74.6343",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
197.210.53.56,NG,Abuja,Africa/Lagos,"9.0579,7.4951",Mac OS X,Opera,10.14.6,66.0.3515,not mobile
197.210.53.145,NG,Abuja,Africa/Lagos,"9.0579,7.4951",Mac OS X,Opera,10.14.6,66.0.3515,not mobile
209.234.253.134,CA,Vancouver,America/Vancouver,"49.2497,-123.1193",Mac OS X,Opera,10.14.6,66.0.3515,not mobile
197.210.52.76,NG,Abuja,Africa/Lagos,"9.0579,7.4951",Mac OS X,Opera,10.14.6,66.0.3515,not mobile
197.210.53.94,NG,Abuja,Africa/Lagos,"9.0579,7.4951",Mac OS X,Opera,10.14.6,66.0.3515,not mobile
197.210.53.250,NG,Abuja,Africa/Lagos,"9.0579,7.4951",Mac OS X,Opera,10.14.6,66.0.3515,not mobile
197.210.53.226,NG,Abuja,Africa/Lagos,"9.0579,7.4951",Mac OS X,Opera,10.14.6,66.0.3515,not mobile
197.210.52.170,NG,Abuja,Africa/Lagos,"9.0579,7.4951",Mac OS X,Opera,10.14.6,66.0.3515,not mobile
197.210.45.33,NG,Lagos,Africa/Lagos,"6.4541,3.3947",Mac OS X,Opera,10.14.6,66.0.3515,not mobile
173.213.86.73,US,Elk Grove Village,America/Chicago,"42.0076,-87.9931",Mac OS X,Opera,10.14.6,66.0.3515,not mobile
197.210.29.78,SA,Riyadh,Asia/Riyadh,"24.6877,46.7219",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
104.238.38.155,US,New York City,America/New_York,"40.7143,-74.0060",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
64.145.94.183,US,Los Angeles,America/Los_Angeles,"34.0614,-118.2385",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
105.112.75.164,NG,Lagos,Africa/Lagos,"6.4541,3.3947",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
104.238.38.33,US,New York City,America/New_York,"40.7143,-74.0060",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
104.238.38.35,US,New York City,America/New_York,"40.7143,-74.0060",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
45.56.172.103,US,Dallas,America/Chicago,"32.7831,-96.8067",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
105.112.37.60,NG,Lagos,Africa/Lagos,"6.4541,3.3947",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
45.56.171.22,US,New York City,America/New_York,"40.7143,-74.0060",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
45.56.172.57,US,New Orleans,America/Chicago,"29.9547,-90.0751",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
45.56.172.55,US,New Orleans,America/Chicago,"29.9547,-90.0751",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
154.160.11.96,GH,Accra,Africa/Accra,"5.5560,-0.1969",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
209.234.253.174,CA,Vancouver,America/Vancouver,"49.2497,-123.1193",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
209.197.30.176,IR,Tehran,Asia/Tehran,"35.6944,51.4215",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
64.145.94.70,US,Los Angeles,America/Los_Angeles,"34.0614,-118.2385",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
209.234.253.182,CA,Vancouver,America/Vancouver,"49.2497,-123.1193",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
209.234.253.198,CA,Vancouver,America/Vancouver,"49.2497,-123.1193",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
197.210.44.108,NG,Lagos,Africa/Lagos,"6.4541,3.3947",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
209.234.253.126,CA,Vancouver,America/Vancouver,"49.2497,-123.1193",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
173.213.86.63,US,Elk Grove Village,America/Chicago,"42.0076,-87.9931",Mac OS X,Opera,10.14.6,66.0.3515,not mobile
104.238.38.40,US,New York City,America/New_York,"40.7143,-74.0060",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
197.210.70.155,NG,Abuja,Africa/Lagos,"9.0579,7.4951",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
104.238.38.168,US,New York City,America/New_York,"40.7143,-74.0060",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
197.210.70.155,NG,Abuja,Africa/Lagos,"9.0579,7.4951",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
197.210.227.245,NG,Lagos,Africa/Lagos,"6.4541,3.3947",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
197.210.226.98,NG,Abuja,Africa/Lagos,"9.0579,7.4951",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
197.210.227.96,NG,Abuja,Africa/Lagos,"9.0579,7.4951",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
197.210.227.214,NG,Lagos,Africa/Lagos,"6.4541,3.3947",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
64.145.94.87,US,Los Angeles,America/Los_Angeles,"34.0614,-118.2385",Mac OS X,Opera,10.14.6,66.0.3515,not mobile
209.234.253.179,CA,Vancouver,America/Vancouver,"49.2497,-123.1193",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
197.210.85.70,NG,Abuja,Africa/Lagos,"9.0579,7.4951",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
209.234.253.127,CA,Vancouver,America/Vancouver,"49.2497,-123.1193",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
104.238.38.34,US,New York City,America/New_York,"40.7143,-74.0060",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
104.238.38.35,US,New York City,America/New_York,"40.7143,-74.0060",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
45.56.172.235,US,Denver,America/Denver,"39.7392,-104.9847",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
197.210.70.155,NG,Abuja,Africa/Lagos,"9.0579,7.4951",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
104.238.38.168,US,New York City,America/New_York,"40.7143,-74.0060",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
216.151.180.182,US,New York City,America/New_York,"40.7185,-74.0025",Mac OS X,Opera,10.14.6,65.0.3467,not mobile
185.97.201.65,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
217.165.114.120,AE,Dubai,Asia/Dubai,"25.0772,55.3093",Mac OS X,Chrome,10.15.2,79.0.3945,not mobile
178.65.132.194,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.2,79.0.3945,not mobile
178.65.132.194,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.2,79.0.3945,not mobile
178.65.132.194,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
5.16.120.61,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,79.0.3945,not mobile
5.18.232.156,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,79.0.3945,not mobile
217.66.156.115,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,79.0.3945,not mobile
185.97.201.85,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,78.0.3904,not mobile
5.16.120.91,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,79.0.3945,not mobile
5.16.121.140,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,79.0.3945,not mobile
5.18.232.156,RU,Saint Petersburg,Europe/Moscow,"59.9386,30.3141",Mac OS X,Chrome,10.15.1,79.0.3945,not mobile
